trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.6, 'e': 0.11952286093343936}",25,0,20.480595266599316,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.6, 'e': 0.11867816581938533}",35,23,21.867504957948164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.6, 'e': 0.11785113019775793}",35,15,29.055203294366095,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.11704114719613057}",30,21,-28.040702099562495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.6, 'e': 0.11624763874381928}",20,14,12.532806525678355,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.11547005383792514}",25,18,13.36407846648316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.11470786693528087}",30,10,-2.649196520951792,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.6, 'e': 0.11396057645963795}",25,7,28.074017181793543,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.6, 'e': 0.11322770341445956}",25,5,29.902179375763087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.1125087900926024}",35,21,12.937551859605964,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.11180339887498948}",20,16,7.825817485629608,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.1111111111111111}",20,12,12.066961528629975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.11043152607484653}",20,15,10.497932688653465,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.10976425998969035}",25,12,12.820156831596139,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.1091089451179962}",30,16,-34.45694365132533,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
84,False,"{'a': 0.6, 'e': 0.10846522890932808}",20,6,14.453463835479456,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.10783277320343841}",20,13,2.2605575475452615,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.10721125348377948}",30,12,34.587362158659616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.10660035817780521}",35,17,22.416273212739753,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.105999788000636}",25,13,16.43721093130308,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.10540925533894598}",25,7,-22.278141641556633,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.6, 'e': 0.10482848367219183}",30,24,12.276250310766095,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.10425720702853739}",20,9,-3.636447307524833,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.6, 'e': 0.10369516947304253}",25,17,15.839187702293522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.10314212462587934}",25,18,10.699955770270817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.10259783520851541}",20,15,8.503077106167172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.10206207261596577}",25,9,-0.4359757059421081,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.10153461651336192}",25,14,9.250983303175657,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.10101525445522107}",25,13,22.62100653477339,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.10050378152592121}",20,14,13.375453964633547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.1}",20,13,13.998595277682561,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.09950371902099892}",20,12,16.73020858651787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.09901475429766744}",30,17,20.751918805354947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.09853292781642932}",20,7,-1.623429792789274,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.09805806756909202}",25,11,-44.209287501931385,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.6, 'e': 0.09759000729485333}",20,14,-31.994020822020065,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.6, 'e': 0.09712858623572641}",25,15,8.503735058918453,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.09667364890456635}",30,23,12.521631645595512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.09622504486493763}",20,5,-18.085116015307143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.6, 'e': 0.09578262852211514}",25,0,-19.32836633479476,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.6, 'e': 0.09534625892455924}",20,8,9.379945540458406,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.0949157995752499}",25,13,19.765179994418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.0944911182523068}",20,10,-8.578740410565239,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.09407208683835973}",20,10,16.15672266372932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.0936585811581694}",30,16,6.316327346193898,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.09325048082403138}",20,8,12.552519292878873,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.09284766908852593}",35,24,22.242643017682774,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.09245003270420485}",25,16,13.083693523113885,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.09205746178983235}",30,18,21.877614822613584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.6, 'e': 0.09166984970282113}",30,18,23.193470279280454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.09128709291752768}",20,15,9.991277674623706,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.6, 'e': 0.09090909090909091}",20,8,21.75364397104547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.09053574604251853}",20,8,20.420165051453264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.09016696346674323}",20,6,8.665198528821517,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.08980265101338746}",25,12,11.68670421818896,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.08944271909999159}",30,16,19.42651149119496,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.0890870806374748}",20,16,7.6790480614763,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
